ts_code,inputs,pr_value,strategy,error
000001.SZ,"{'pe': 5.3847, 'roe': 10.08, 'dividend_payout_ratio': 0.19363097253848696}",1.0683928571428571,dividend_correction,
000002.SZ,"{'pb': 0.4112, 'roe': -21.82}",0.08636616059569127,pb_roe_squared,
000027.SZ,"{'pb': 0.9965, 'roe': 4.47}",4.987262836008389,pb_roe_squared,
000039.SZ,"{'pb': 0.9473, 'roe': 6.0}",2.631388888888889,pb_roe_squared,
000063.SZ,"{'pe': 19.5264, 'roe': 11.97, 'dividend_payout_ratio': 0.26215638302104466}",3.111269267393292,dividend_correction,
000066.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000100.SZ,"{'pb': 1.6006, 'roe': 2.95}",18.392415972421716,pb_roe_squared,
000157.SZ,"{'pb': 1.1789, 'roe': 6.24}",3.0276647764628533,pb_roe_squared,
000158.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000166.SZ,"{'pb': 1.2777, 'roe': 5.08}",4.951097402194804,pb_roe_squared,
000301.SZ,"{'pb': 1.789, 'roe': -6.73}",3.949846443923882,pb_roe_squared,
000333.SZ,"{'pe': 14.4881, 'roe': 21.29}",0.6805119774542039,basic,
000338.SZ,"{'pb': 1.5767, 'roe': 13.69}",0.8412831128168817,pb_roe_squared,
000408.SZ,"{'pb': 5.1111, 'roe': 19.4}",1.3580348602401957,pb_roe_squared,
000423.SZ,"{'pb': 3.3104, 'roe': 14.6}",1.5530118221054607,pb_roe_squared,
000425.SZ,"{'pb': 1.6998, 'roe': 10.3}",1.6022245263455552,pb_roe_squared,
000426.SZ,"{'pb': 4.0996, 'roe': 21.28}",0.9053119170105715,pb_roe_squared,
000513.SZ,"{'pe': 18.318, 'roe': 14.43}",1.2694386694386695,basic,
000519.SZ,"{'pb': 2.9917, 'roe': -3.19}",29.399278702056776,pb_roe_squared,
000538.SZ,"{'pb': 2.6094, 'roe': 11.99}",1.8151072515948445,pb_roe_squared,
000564.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000568.SZ,"{'pe': 13.6379, 'roe': 30.44}",0.4480256241787122,basic,
000596.SZ,"{'pe': 13.6604, 'roe': 23.89}",0.5718041021347844,basic,
000617.SZ,"{'pb': 1.1065, 'roe': 4.61}",5.2065442944461955,pb_roe_squared,
000625.SZ,"{'pb': 1.7066, 'roe': 9.69}",1.8175408776296356,pb_roe_squared,
000630.SZ,"{'pb': 1.4104, 'roe': 8.54}",1.9338668012219675,pb_roe_squared,
000651.SZ,"{'pe': 8.1451, 'roe': 25.42, 'dividend_payout_ratio': 0.3922406121933384}",0.4084494548016033,dividend_correction,
000657.SZ,"{'pb': 4.7215, 'roe': 12.53}",3.0073076014213935,pb_roe_squared,
000661.SZ,"{'pb': 1.8871, 'roe': 11.66}",1.3880266792982414,pb_roe_squared,
000708.SZ,"{'pb': 1.7186, 'roe': 13.05}",1.0091454911114046,pb_roe_squared,
000725.SZ,"{'pb': 1.1845, 'roe': 4.05}",7.221460143270844,pb_roe_squared,
000728.SZ,"{'pe': 16.9544, 'roe': 6.26, 'dividend_payout_ratio': 0.37764270613107814}",3.585890264869422,dividend_correction,
000729.SZ,"{'pb': 2.4612, 'roe': 7.41}",4.482398771765913,pb_roe_squared,
000768.SZ,"{'pe': 77.7738, 'roe': 5.91, 'dividend_payout_ratio': 0.4038788998408425}",16.29163523602985,dividend_correction,
000776.SZ,"{'pb': 1.2594, 'roe': 7.44}",2.2751907734998267,pb_roe_squared,
000783.SZ,"{'pb': 1.2693, 'roe': 5.08}",4.918547337094674,pb_roe_squared,
000786.SZ,"{'pe': 12.4711, 'roe': 15.01, 'dividend_payout_ratio': 0.3561346814433371}",1.1664867367819722,dividend_correction,
000792.SZ,"{'pb': 2.6384, 'roe': 13.62}",1.4222843231750837,pb_roe_squared,
000800.SZ,"{'pb': 1.3519, 'roe': 2.45}",22.522282382340688,pb_roe_squared,
000807.SZ,"{'pb': 1.9836, 'roe': 16.45}",0.733030921739452,pb_roe_squared,
000829.SZ,,,,"HTTPConnectionPool(host='api.waditu.com', port=80): Read timed out. (read timeout=30)"
000831.SZ,"{'pb': 10.2559, 'roe': -6.16}",27.02790310339012,pb_roe_squared,
000858.SZ,"{'pe': 15.0545, 'roe': 23.35}",0.6447323340471092,basic,
000876.SZ,"{'pe': 95.2615, 'roe': 1.73, 'dividend_payout_ratio': 0.0}",110.12890173410405,dividend_correction,
000877.SZ,"{'pb': 0.482, 'roe': -0.72}",92.97839506172839,pb_roe_squared,
000883.SZ,"{'pb': 0.9094, 'roe': 5.5}",3.006280991735537,pb_roe_squared,
000895.SZ,"{'pe': 17.403, 'roe': 23.81}",0.7309113817723646,basic,
000921.SZ,"{'pb': 2.2546, 'roe': 23.27}",0.41636741682116235,pb_roe_squared,
000932.SZ,"{'pb': 0.7468, 'roe': 3.81}",5.144632511487246,pb_roe_squared,
000933.SZ,"{'pb': 2.0086, 'roe': 20.77}",0.4656080338828015,pb_roe_squared,
000938.SZ,"{'pe': 45.5449, 'roe': 5.8, 'dividend_payout_ratio': 0.10787732758438484}",15.705137931034482,dividend_correction,
000958.SZ,"{'pe': 35.6846, 'roe': 5.31, 'dividend_payout_ratio': 0.19674167153711278}",13.440527306967986,dividend_correction,
000959.SZ,"{'pb': 0.6746, 'roe': 0.95}",74.74792243767313,pb_roe_squared,
000960.SZ,"{'pb': 1.6769, 'roe': 7.69}",2.8356621420756523,pb_roe_squared,
000963.SZ,"{'pe': 21.341, 'roe': 15.93, 'dividend_payout_ratio': 0.2603697042688759}",2.572637196095444,dividend_correction,
000975.SZ,"{'pe': 24.0347, 'roe': 17.9}",1.3427206703910617,basic,
000977.SZ,"{'pe': 35.2591, 'roe': 12.06, 'dividend_payout_ratio': 0.10648508577227718}",5.847280265339966,dividend_correction,
000983.SZ,"{'pb': 1.2263, 'roe': 8.33}",1.7672855456708492,pb_roe_squared,
000987.SZ,"{'pb': 1.2871, 'roe': 7.85}",2.088685139356566,pb_roe_squared,
000988.SZ,"{'pe': 39.4129, 'roe': 12.65, 'dividend_payout_ratio': 0.12212475633528265}",6.231288537549407,dividend_correction,
000997.SZ,"{'pb': 4.7431, 'roe': 14.92}",2.1307114260865814,pb_roe_squared,
000999.SZ,"{'pe': 15.7, 'roe': 17.33, 'dividend_payout_ratio': 0.44398347978349156}",1.0202445495329828,dividend_correction,
001267.SZ,,,,无法获取 001267.SZ 在 20250725 的基本估值指标。
001286.SZ,"{'pb': 1.4233, 'roe': 12.57}",0.9007948487673483,pb_roe_squared,
001289.SZ,,,,roe_history 需要一个包含至少5年ROE历史数据的列表。
001391.SZ,"{'pb': 3.3964, 'roe': 9.44}",3.8113149956908936,pb_roe_squared,
001872.SZ,"{'pe': 11.3214, 'roe': 7.5087, 'dividend_payout_ratio': 0.33081560100995827}",2.2788692266227963,dividend_correction,
001965.SZ,"{'pb': 1.1928, 'roe': 7.94}",1.8920239326434403,pb_roe_squared,
001979.SZ,"{'pb': 0.8705, 'roe': 3.36}",7.710636337868483,pb_roe_squared,
002001.SZ,"{'pb': 2.3752, 'roe': 21.78}",0.5007078886367641,pb_roe_squared,
002007.SZ,"{'pb': 2.6034, 'roe': 9.44}",2.9214396006894576,pb_roe_squared,
002027.SZ,"{'pb': 5.9644, 'roe': 29.91}",0.6667053428199454,pb_roe_squared,
002028.SZ,"{'pe': 30.3868, 'roe': 18.05, 'dividend_payout_ratio': 0.171362527431688}",3.3669584487534627,dividend_correction,
002032.SZ,"{'pe': 18.4626, 'roe': 37.27}",0.49537429568017166,basic,
002049.SZ,"{'pb': 4.7845, 'roe': 9.88}",4.901428477765575,pb_roe_squared,
002050.SZ,"{'pe': 36.7633, 'roe': 16.77, 'dividend_payout_ratio': 0.3018562297522108}",3.6312093386486026,dividend_correction,
002064.SZ,"{'pb': 1.4552, 'roe': 8.64}",1.9493741426611797,pb_roe_squared,
002065.SZ,"{'pe': 61.9021, 'roe': 4.29, 'dividend_payout_ratio': 0.37128412222875307}",19.431741186206445,dividend_correction,
002074.SZ,"{'pb': 2.143, 'roe': 4.77}",9.418579609632179,pb_roe_squared,
002078.SZ,"{'pe': 13.0209, 'roe': 11.38, 'dividend_payout_ratio': 0.21453546453546454}",2.2883831282952545,dividend_correction,
002080.SZ,"{'pb': 2.5253, 'roe': 4.82}",10.869733647836641,pb_roe_squared,
002085.SZ,"{'pb': 5.0268, 'roe': 9.71}",5.331545827981598,pb_roe_squared,
002128.SZ,"{'pe': 8.7538, 'roe': 16.36, 'dividend_payout_ratio': 0.2780303485022216}",0.962257092644288,dividend_correction,
002129.SZ,"{'pb': 1.1989, 'roe': -27.26}",0.16133598956597942,pb_roe_squared,
002142.SZ,"{'pe': 7.0449, 'roe': 13.59, 'dividend_payout_ratio': 0.15589113434284238}",1.0367770419426048,dividend_correction,
002152.SZ,"{'pe': 37.0688, 'roe': 7.49}",4.949105473965287,basic,
002153.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
002156.SZ,"{'pb': 2.7402, 'roe': 4.75}",12.144930747922439,pb_roe_squared,
002176.SZ,,,,无法获取 002176.SZ 在 20250725 的基本估值指标。
002179.SZ,"{'pe': 24.4395, 'roe': 15.67, 'dividend_payout_ratio': 0.3287991733667588}",2.3717155849829297,dividend_correction,
002180.SZ,"{'pe': 46.5152, 'roe': 7.67, 'dividend_payout_ratio': 0.06421318042370375}",12.129126466753586,dividend_correction,
002185.SZ,"{'pb': 2.0188, 'roe': 3.7941}",14.024124207041561,pb_roe_squared,
002195.SZ,"{'pb': 3.4043, 'roe': 0.33}",3126.078971533517,pb_roe_squared,
002202.SZ,"{'pb': 1.1234, 'roe': 4.91}",4.659844616539669,pb_roe_squared,
002223.SZ,"{'pe': 19.9196, 'roe': 14.82, 'dividend_payout_ratio': 0.3019877656004968}",2.2254255258153295,dividend_correction,
002230.SZ,"{'pb': 6.5783, 'roe': 3.21}",63.84157762444075,pb_roe_squared,
002236.SZ,"{'pb': 1.5519, 'roe': 8.19}",2.3136407751792367,pb_roe_squared,
002241.SZ,"{'pb': 2.5047, 'roe': 8.46}",3.499572456113877,pb_roe_squared,
002244.SZ,"{'pb': 1.1404, 'roe': 9.63}",1.229715463855272,pb_roe_squared,
002252.SZ,"{'pe': 21.2157, 'roe': 7.13, 'dividend_payout_ratio': 0.12187412976886662}",5.9511079943899015,dividend_correction,
002261.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
002265.SZ,"{'pb': 10.9592, 'roe': 7.45}",19.745416873113818,pb_roe_squared,
002281.SZ,"{'pe': 58.3194, 'roe': 7.55, 'dividend_payout_ratio': 0.22601517179830433}",15.448847682119206,dividend_correction,
002294.SZ,"{'pb': 6.4908, 'roe': 7.27}",12.280877681262526,pb_roe_squared,
002304.SZ,"{'pe': 15.418, 'roe': 12.07}",1.2773819386909693,basic,
002311.SZ,"{'pb': 4.0757, 'roe': 20.88}",0.9348484681669385,pb_roe_squared,
002340.SZ,"{'pb': 1.7146, 'roe': 5.28}",6.150281221303947,pb_roe_squared,
002352.SZ,"{'pb': 2.5609, 'roe': 11.16}",2.0561946788967256,pb_roe_squared,
002353.SZ,"{'pe': 15.4843, 'roe': 13.02, 'dividend_payout_ratio': 0.1523758954512183}",2.378540706605223,dividend_correction,
002371.SZ,"{'pb': 7.6871, 'roe': 24.83}",1.2468353065038802,pb_roe_squared,
002384.SZ,"{'pb': 4.7129, 'roe': 5.89}",13.584937204723843,pb_roe_squared,
002414.SZ,"{'pb': 7.0692, 'roe': -6.83}",15.154055079541,pb_roe_squared,
002415.SZ,"{'pb': 3.5084, 'roe': 15.34}",1.4909338777369625,pb_roe_squared,
002422.SZ,"{'pb': 2.521, 'roe': 13.51}",1.3812177398544052,pb_roe_squared,
002444.SZ,"{'pe': 17.4794, 'roe': 14.53, 'dividend_payout_ratio': 0.06816082109780376}",2.4059738472126635,dividend_correction,
002456.SZ,"{'pe': 660.1761, 'roe': 1.66, 'dividend_payout_ratio': 0.0}",795.3928915662651,dividend_correction,
002459.SZ,"{'pb': 1.5006, 'roe': -14.8}",0.6850803506208911,pb_roe_squared,
002460.SZ,"{'pb': 1.9352, 'roe': -4.6}",9.145557655954633,pb_roe_squared,
002463.SZ,"{'pe': 36.835, 'roe': 24.25, 'dividend_payout_ratio': 0.36816493118454224}",2.062892121851181,dividend_correction,
002465.SZ,"{'pb': 2.5825, 'roe': 0.42}",1464.0022675736964,pb_roe_squared,
002466.SZ,"{'pb': 1.645, 'roe': -16.92}",0.5745994221171524,pb_roe_squared,
002475.SZ,"{'pe': 20.7973, 'roe': 21.34, 'dividend_payout_ratio': 0.1348304265642511}",1.9491377694470478,dividend_correction,
002493.SZ,"{'pb': 2.2751, 'roe': 1.65}",83.56657483930213,pb_roe_squared,
002517.SZ,"{'pb': 5.5856, 'roe': 27.05}",0.7633703588548626,pb_roe_squared,
002532.SZ,"{'pb': 1.6308, 'roe': 17.38}",0.5398848722325439,pb_roe_squared,
002555.SZ,"{'pb': 3.0947, 'roe': 20.58}",0.7306809993190669,pb_roe_squared,
002558.SZ,"{'pe': 32.4789, 'roe': 11.56, 'dividend_payout_ratio': 0.2617686999161117}",5.366557244059201,dividend_correction,
002594.SZ,"{'pb': 8.6977, 'roe': 26.05}",1.2817076270718128,pb_roe_squared,
002595.SZ,"{'pe': 22.6228, 'roe': 21.44, 'dividend_payout_ratio': 0.28059615652762265}",1.8802251668473717,dividend_correction,
002600.SZ,"{'pb': 3.1778, 'roe': 9.24}",3.722053559715897,pb_roe_squared,
002601.SZ,"{'pb': 1.8575, 'roe': 9.78}",1.9420084392420578,pb_roe_squared,
002602.SZ,"{'pe': 77.032, 'roe': 4.94, 'dividend_payout_ratio': 0.0}",31.18704453441295,dividend_correction,
002625.SZ,"{'pb': 9.4368, 'roe': 7.17}",18.356354638982744,pb_roe_squared,
002648.SZ,"{'pb': 2.0788, 'roe': 21.87}",0.43462543871808496,pb_roe_squared,
002653.SZ,"{'pb': 13.615, 'roe': 9.42}",15.343196253172316,pb_roe_squared,
002670.SZ,"{'pe': 180.5475, 'roe': 1.5182, 'dividend_payout_ratio': 0.0}",237.84415755499936,dividend_correction,
002673.SZ,"{'pb': 1.3656, 'roe': 4.95}",5.573308846036118,pb_roe_squared,
002709.SZ,"{'pb': 2.9763, 'roe': 3.66}",22.218489653318997,pb_roe_squared,
002714.SZ,"{'pb': 3.6733, 'roe': 25.1}",0.5830542372343295,pb_roe_squared,
002717.SZ,,,,"HTTPConnectionPool(host='api.waditu.com', port=80): Read timed out. (read timeout=30)"
002736.SZ,"{'pb': 1.5581, 'roe': 8.23}",2.300359205053969,pb_roe_squared,
002773.SZ,"{'pb': 4.3662, 'roe': 14.53}",2.068104105278066,pb_roe_squared,
002797.SZ,"{'pb': 1.9694, 'roe': 5.8}",5.854340071343638,pb_roe_squared,
002821.SZ,"{'pb': 2.4594, 'roe': 5.56}",7.955721753532427,pb_roe_squared,
002837.SZ,"{'pe': 67.7294, 'roe': 16.88, 'dividend_payout_ratio': 0.30348604605776736}",6.610526687125504,dividend_correction,
002850.SZ,"{'pb': 2.7374, 'roe': 13.39}",1.5267822731732184,pb_roe_squared,
002916.SZ,"{'pb': 6.1369, 'roe': 13.58}",3.3277409167514382,pb_roe_squared,
002920.SZ,"{'pb': 6.0635, 'roe': 23.07}",1.1392740174313527,pb_roe_squared,
002938.SZ,"{'pb': 3.4166, 'roe': 11.73}",2.483122312270473,pb_roe_squared,
002939.SZ,"{'pb': 1.2236, 'roe': 5.38}",4.227415320407402,pb_roe_squared,
002945.SZ,"{'pb': 6.0969, 'roe': 5.43}",20.678041980810516,pb_roe_squared,
002966.SZ,"{'pe': 7.6654, 'roe': 11.68, 'dividend_payout_ratio': 0.3097195383060054}",1.0594815073095718,dividend_correction,
003816.SZ,"{'pe': 17.5117, 'roe': 9.33, 'dividend_payout_ratio': 0.4400845841730298}",2.1324581329295067,dividend_correction,
300014.SZ,"{'pb': 2.5806, 'roe': 11.3}",2.0209883311144177,pb_roe_squared,
300015.SZ,"{'pe': 34.3796, 'roe': 17.89, 'dividend_payout_ratio': 0.32085457651202537}",2.9946925692748123,dividend_correction,
300033.SZ,"{'pb': 23.9866, 'roe': 24.8}",3.9000065036420386,pb_roe_squared,
300059.SZ,"{'pb': 4.591, 'roe': 12.64}",2.8735128585162633,pb_roe_squared,
300085.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
300122.SZ,"{'pb': 1.8726, 'roe': 6.46}",4.4872470741596295,pb_roe_squared,
300124.SZ,"{'pe': 41.1386, 'roe': 16.52, 'dividend_payout_ratio': 0.23043309535859238}",4.98046004842615,dividend_correction,
300207.SZ,"{'pb': 1.6549, 'roe': 6.26}",4.223019526584941,pb_roe_squared,
300223.SZ,"{'pb': 2.7361, 'roe': 3.08}",28.842342722212855,pb_roe_squared,
300251.SZ,"{'pb': 5.5722, 'roe': 3.36}",49.35693027210884,pb_roe_squared,
300255.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
300274.SZ,"{'pb': 4.0739, 'roe': 33.99}",0.3526208883581268,pb_roe_squared,
300280.SZ,,,,无法获取 300280.SZ 在 20250725 的基本估值指标。
300308.SZ,"{'pb': 10.1326, 'roe': 31.23}",1.038907616212192,pb_roe_squared,
300316.SZ,"{'pb': 2.2541, 'roe': 15.97}",0.883819026673761,pb_roe_squared,
300339.SZ,"{'pe': 271.0852, 'roe': 4.72, 'dividend_payout_ratio': 0.0}",114.86661016949152,dividend_correction,
300347.SZ,"{'pb': 2.6595, 'roe': 1.94}",70.663726219577,pb_roe_squared,
300394.SZ,"{'pb': 16.3635, 'roe': 36.74}",1.212265921959219,pb_roe_squared,
300395.SZ,"{'pb': 9.5184, 'roe': 8.39}",13.5219719258269,pb_roe_squared,
300408.SZ,"{'pb': 3.2863, 'roe': 11.5}",2.484914933837429,pb_roe_squared,
300413.SZ,"{'pb': 1.8745, 'roe': 6.21}",4.860738355102285,pb_roe_squared,
300418.SZ,"{'pb': 3.23, 'roe': -10.83}",2.7538837861042262,pb_roe_squared,
300433.SZ,"{'pb': 2.4076, 'roe': 7.64}",4.124749869795236,pb_roe_squared,
300442.SZ,"{'pb': 8.2802, 'roe': 19.5}",2.1775673898750822,pb_roe_squared,
300450.SZ,"{'pb': 3.4905, 'roe': 2.44}",58.62839290513303,pb_roe_squared,
300454.SZ,"{'pb': 4.9285, 'roe': 2.22}",100.00202905608309,pb_roe_squared,
300458.SZ,"{'pb': 11.4695, 'roe': 5.63}",36.18492660165505,pb_roe_squared,
300474.SZ,"{'pb': 5.8538, 'roe': -4.16}",33.82604474852071,pb_roe_squared,
300476.SZ,"{'pe': 116.2252, 'roe': 13.95, 'dividend_payout_ratio': 0.2236805717594393}",16.663111111111114,dividend_correction,
300498.SZ,"{'pb': 2.9517, 'roe': 24.59}",0.4881520953395756,pb_roe_squared,
300502.SZ,"{'pb': 17.8455, 'roe': 41.0}",1.0616002379535991,pb_roe_squared,
300588.SZ,,,,无法获取 300588.SZ 在 20250725 的基本估值指标。
300628.SZ,"{'pe': 16.5683, 'roe': 30.68}",0.540035853976532,basic,
300661.SZ,"{'pb': 9.7367, 'roe': 11.9}",6.8757149918791045,pb_roe_squared,
300723.SZ,"{'pb': 16.8231, 'roe': -24.57}",2.786735265367744,pb_roe_squared,
300748.SZ,"{'pb': 5.6202, 'roe': 4.19}",32.012804666184394,pb_roe_squared,
300750.SZ,"{'pb': 4.6168, 'roe': 24.13}",0.7929146052197921,pb_roe_squared,
